Owner_id;id;High_value;Low_value;class_Description;sensor_Description
1626;319825;46;6;1.111 (B3.07) Opslag ICT;MeasAirflow 1.111 (B3.07) Opslag ICT
1627;319965;18;2;1.031 (B3.08a) Werkkamer;MeasAirflow 1.031 (B3.08a) Werkkamer
1628;595916;146;19;1.033 (B3.08b) Werkkamer;MeasAirflow 1.033 (B3.08b) Werkkamer
1629;320245;22;3;1.041 (B3.09) Stafkamer;MeasAirflow 1.041 (B3.09) Stafkamer
1630;320385;39;5;1.037 (B3.10a) Stafkamer;MeasAirflow 1.037 (B3.10a) Stafkamer
1631;320525;25;3;1.039 (B3.10b) Stafkamer;MeasAirflow 1.039 (B3.10b) Stafkamer
1632;320665;33;4;1.035 (B3.11) Werkkamer;MeasAirflow 1.035 (B3.11) Werkkamer
1633;596092;688;91;1.097 (B4.02) Instructieruimte;MeasAirflow 1.097 (B4.02) Instructieruimte
1634;596245;107;14;1.094 (B4.06a) Spreekkamer;MeasAirflow 1.094 (B4.06a) Spreekkamer
1635;321085;55;7;1.107 (B4.07) Vergaderkamer;MeasAirflow 1.107 (B4.07) Vergaderkamer
1636;321505;29;3;1.099 (B4.08a) Werkkamer;MeasAirflow 1.099 (B4.08a) Werkkamer
1637;321645;70;9;1.093 (B4.08b) Werkkamer;MeasAirflow 1.093 (B4.08b) Werkkamer
1638;321785;34;4;1.087 (B4.09) Stafkamer;MeasAirflow 1.087 (B4.09) Stafkamer
1639;321925;0;0;1.103 (B4.10a) Stafkamer;MeasAirflow 1.103 (B4.10a) Stafkamer
1640;322065;46;6;1.116 (B4.10b) Vergaderkamer;MeasAirflow 1.116 (B4.10b) Stafkamer
1641;322205;19;2;1.091 (B4.11) Werkkamer;MeasAirflow 1.091 (B4.11) Werkkamer
1642;322345;15;2;1.114 (D01) Afdelingsmanager;MeasAirflow 1.114 (D01) Afdelingsmanager
1643;322485;23;3;1.118 (D03) Roosterbureau;MeasAirflow 1.118 (D03) Roosterbureau
